date,ticker,name,close,sma5,sma20,sma60,volume,volume_ma20,volume_ratio,next_close,ret_1d,ret_2d,ret_3d,ret_5d,hit_2pct_1d,hit_2pct_2d,hit_2pct_3d,hit_2pct_5d,prev_prev_day_change_pct,prev_day_change_pct,day_change_pct,rsi,recent_high,volume_change_pct,open_price,high_price,low_price,hh20,vol_today_vs_yday_pct,is_pullback,is_breakout,long_upper_wick,is_high_zone,big_bearish_yesterday,weekly_sma20_ok,first_sma20_touch,sma20_touch_count,trend_start_days_ago,atr_pct,day_of_week,cum_ret_1d,cum_ret_2d,cum_ret_3d,ret_4d,cum_ret_4d,hit_2pct_4d,cum_ret_5d,days_to_target,pos_within_3d,pos_within_5d,max_ret_3d,max_ret_5d,max_high_ret_5d
2026-02-03,MSCI,MSCI Inc.,579.2,605.33,590.94,570.93,1110100,506545.0,2.19,568.78,-1.799,-0.897,-1.435,-7.817,0,0,0,0,0.16,2.55,-6.93,47.0,,34.8,608.7,611.92,571.94,623.82,44.6,False,False,False,False,False,True,False,4,21,3.18,1,-1.799,-2.679,-4.076,0.289,-3.799,0,-11.319,,1,1,1.816,1.816,1.816
2026-02-03,NVDA,Nvidia,180.33,188.21,186.16,184.7,204019600,166513605.0,1.23,174.18,-3.41,-1.326,7.872,-0.789,0,0,1,1,-0.72,-2.89,-2.84,42.3,,-7.6,186.23,186.26,176.22,194.48,23.1,False,False,False,False,False,False,False,2,5,3.15,1,-3.41,-4.691,2.811,2.497,5.379,1,4.547,3.0,1,1,3.693,7.386,7.386
2026-02-03,ON,ON Semiconductor,59.43,61.6,61.3,55.12,11065100,9213255.0,1.2,62.06,4.425,1.676,3.328,3.502,1,1,1,1,-3.71,2.74,-3.41,49.2,,-42.4,60.85,61.18,57.59,66.86,43.9,False,False,False,False,False,True,True,1,20,4.61,1,4.425,6.175,9.709,-0.153,9.541,1,13.377,1.0,1,1,10.13,15.766,15.766
2026-02-03,RMD,ResMed,250.83,255.37,254.51,250.13,1285500,1071530.0,1.2,262.42,4.622,1.528,1.715,-4.501,1,1,1,1,0.27,-1.38,-1.31,46.7,,-36.4,252.77,256.84,249.96,263.48,-10.5,False,False,True,False,False,False,True,1,8,2.57,1,4.622,6.221,8.043,1.594,9.765,1,4.825,1.0,1,1,8.321,10.445,10.445
2026-02-04,AMD,Advanced Micro Devices,200.19,235.5,232.93,224.34,107173300,42390560.0,2.53,192.5,-3.841,8.281,3.627,0.005,0,1,1,1,4.03,-1.69,-17.31,34.8,,46.2,215.0,218.58,199.15,266.96,101.8,False,False,False,False,False,False,True,1,6,7.64,2,-3.841,4.121,7.897,-1.125,6.684,1,6.689,2.0,1,1,8.697,9.721,9.721
2026-02-04,GOOGL,Alphabet Inc. (Class A),332.81,338.3,332.16,314.79,70618400,33365025.0,2.12,331.02,-0.537,-2.533,0.452,-2.392,0,0,0,0,1.68,-1.16,-1.96,55.3,,14.1,342.72,343.07,328.29,348.75,93.4,True,False,False,False,True,True,False,5,25,2.74,2,-0.537,-3.057,-2.618,-1.77,-4.342,0,-6.63,,0,0,-0.105,-0.105,-0.105
2026-02-04,GOOG,Alphabet Inc. (Class C),333.11,338.99,332.63,315.43,36991100,22098495.0,1.67,331.1,-0.603,-2.484,0.402,-2.291,0,0,0,0,1.88,-1.22,-2.16,54.8,,13.2,343.51,344.01,329.14,349.9,43.5,True,False,False,False,True,True,False,5,25,2.73,2,-0.603,-3.072,-2.682,-1.779,-4.413,0,-6.603,,0,0,-0.209,-0.209,-0.209
2026-02-04,APA,APA Corporation,27.38,26.48,25.68,24.96,10211400,6757150.0,1.51,26.48,-3.287,3.701,0.109,2.951,0,0,0,1,-1.97,2.2,3.48,63.2,,15.1,26.79,27.52,26.78,27.52,20.0,False,False,False,True,False,True,False,4,15,3.74,2,-3.287,0.292,0.402,-0.146,0.256,0,3.214,5.0,1,1,1.972,4.31,4.31
2026-02-04,AMAT,Applied Materials,297.23,321.27,315.46,273.17,14719400,8242625.0,1.79,303.61,2.147,6.092,2.499,3.285,1,1,1,1,1.89,-2.96,-6.61,46.4,,44.4,323.59,323.59,287.13,344.17,37.6,False,False,False,False,True,True,True,1,21,5.63,2,2.147,8.37,11.079,-0.454,10.575,1,14.207,1.0,1,1,11.694,15.706,15.706
2026-02-04,ANET,Arista Networks,130.28,139.59,134.18,130.86,13313800,8629210.0,1.54,128.67,-1.236,6.855,3.091,-1.945,0,1,1,1,-2.38,0.74,-6.54,44.9,,6.3,138.0,139.37,129.24,151.8,62.3,False,False,False,False,False,False,True,1,6,5.59,2,-1.236,5.534,8.796,1.206,10.109,1,7.967,2.0,1,1,9.203,11.483,11.483
2026-02-04,ADM,Archer Daniels Midland,66.84,66.9,65.1,60.52,5968600,4231160.0,1.41,64.94,-2.836,1.376,1.538,0.991,0,0,0,1,1.14,-1.01,-0.07,63.6,,32.0,66.62,67.37,66.03,69.23,-19.4,True,False,False,False,False,True,True,1,14,3.02,2,-2.836,-1.5,0.015,1.886,1.901,0,2.911,5.0,1,1,0.698,3.861,3.861
2026-02-04,BIIB,Biogen,185.45,179.47,176.48,174.6,2076000,1566165.0,1.33,185.36,-0.049,8.535,-3.663,1.169,0,1,1,1,-0.44,-1.3,4.92,62.6,,23.7,177.25,186.24,177.1,190.2,30.2,False,False,False,True,False,True,True,1,2,2.61,2,-0.049,8.482,4.508,-2.487,1.909,1,3.101,2.0,1,1,9.145,9.145,9.145
