date,ticker,name,close,sma5,sma20,sma60,volume,volume_ma20,volume_ratio,next_close,ret_1d,ret_2d,ret_3d,ret_5d,hit_3pct_1d,hit_3pct_2d,hit_3pct_3d,hit_3pct_5d,prev_prev_day_change_pct,prev_day_change_pct,day_change_pct,rsi,recent_high,volume_change_pct,open_price,high_price,low_price,hh20,vol_today_vs_yday_pct,is_pullback,is_breakout,long_upper_wick,is_high_zone,big_bearish_yesterday,weekly_sma20_ok,first_sma20_touch,sma20_touch_count,trend_start_days_ago,day_of_week,atr_pct,cum_ret_1d,cum_ret_2d,cum_ret_3d,ret_4d,cum_ret_4d,hit_3pct_4d,cum_ret_5d,days_to_target,pos_within_3d,pos_within_5d,max_ret_3d,max_ret_5d
2026-01-21,2282,日本ハム,6968.6,6875.8,6603.6,6450.7,573300,473720.0,1.21,6886.5,-1.178,-1.079,0.23,-1.5,0,0,0,0.0,3.0,2.22,-1.23,68.8,,-11.5,7013.6,7070.3,6960.8,7083.0,8.2,False,False,False,True,False,False,False,2,7,2,,-1.178,-2.244,-2.02,0.172,-1.851,0,-3.324,,0,0.0,-0.785,-0.785
2026-01-21,2315,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,101.0,109.0,101.2,99.8,4560200,4663570.0,0.98,99.0,-1.98,4.04,0.0,0.0,0,0,0,0.0,3.67,-3.54,-7.34,47.4,,33.7,106.0,106.0,101.0,115.0,-27.1,False,False,False,False,False,False,False,2,9,2,,-1.98,1.98,1.98,-0.971,0.99,0,0.99,,1,1.0,2.97,2.97
2026-01-21,2334,イオレ,454.0,434.4,422.6,408.2,2168500,2381280.0,0.91,440.0,-3.084,-2.5,1.399,0.214,0,0,0,1.0,-2.78,2.63,5.58,58.3,,14.7,425.0,458.0,412.0,470.0,33.7,False,False,False,False,False,False,True,1,7,2,,-3.084,-5.507,-4.185,7.356,2.863,1,3.084,4.0,1,1.0,1.762,12.335
2026-01-21,2337,いちご,402.9,428.2,427.4,397.8,3225400,1141875.0,2.82,401.0,-0.483,-1.214,0.0,-0.494,0,0,0,0.0,-1.77,0.45,-7.17,38.5,,-10.7,406.8,414.6,394.2,449.6,180.9,False,False,False,False,False,False,True,1,19,2,,-0.483,-1.691,-1.691,-0.491,-2.174,0,-2.657,,1,1.0,0.483,0.483
2026-01-21,2432,ディー・エヌ・エー,2477.1,2508.4,2507.8,2466.5,1325700,1640310.0,0.81,2483.4,0.256,0.51,-0.898,-1.585,0,0,0,0.0,1.26,-1.61,-0.86,49.5,,-15.6,2485.4,2508.8,2469.8,2550.2,11.9,False,False,True,False,True,False,True,1,2,2,,0.256,0.767,-0.138,0.65,0.511,0,-1.081,,1,1.0,1.829,1.829
2026-01-21,2433,博報堂ＤＹホールディングス,1153.0,1174.4,1169.1,1142.7,765300,592435.0,1.29,1161.9,0.769,1.822,-1.665,-2.394,0,1,1,1.0,0.75,-0.04,-2.62,46.4,,-3.6,1174.2,1178.6,1144.2,1205.7,35.9,False,False,False,False,False,False,False,3,19,2,,0.769,2.605,0.897,-1.016,-0.128,1,-2.519,2.0,1,1.0,3.288,3.288
2026-01-21,2437,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ,505.0,431.6,391.4,316.1,1575900,238690.0,6.6,540.0,6.931,-2.963,0.382,-2.574,1,1,1,1.0,2.48,2.66,18.82,77.6,,112.8,425.0,505.0,422.0,505.0,606.7,False,True,False,True,False,False,False,2,19,2,,6.931,3.762,4.158,3.422,7.723,1,4.95,1.0,1,1.0,9.505,10.297
2026-01-21,2492,インフォマート,447.0,449.4,425.8,375.9,1537100,1744435.0,0.88,458.0,2.461,0.655,-1.085,-0.219,1,1,1,1.0,1.55,-2.83,0.22,66.4,,-8.5,438.0,449.0,436.0,462.0,25.5,True,False,False,False,False,False,False,1,19,2,,2.461,3.132,2.013,0.0,2.013,1,1.79,1.0,1,1.0,4.251,4.251
2026-01-21,2503,キリンホールディングス,2474.0,2441.5,2376.7,2317.6,2885400,2354860.0,1.23,2479.5,0.222,-0.968,0.57,-3.994,0,0,0,0.0,1.31,2.98,-1.16,68.7,,48.2,2488.0,2495.0,2461.5,2505.5,-28.6,False,False,False,True,False,False,False,1,16,2,,0.222,-0.748,-0.182,-0.121,-0.303,0,-4.285,,1,1.0,0.909,0.909
2026-01-21,2501,サッポロホールディングス,1683.5,1628.7,1598.9,1568.9,1537200,2140260.0,0.72,1672.0,-0.683,1.316,1.8,-2.084,0,0,1,1.0,4.62,3.26,-0.65,61.0,,-7.8,1698.0,1699.5,1650.0,1722.5,-24.8,False,False,False,True,False,False,False,0,0,2,,-0.683,0.624,2.435,-1.218,1.188,1,-0.921,3.0,1,1.0,3.029,3.029
