date,ticker,name,close,sma5,sma20,sma60,volume,volume_ma20,volume_ratio,next_close,ret_1d,ret_2d,ret_3d,ret_5d,hit_2pct_1d,hit_2pct_2d,hit_2pct_3d,hit_2pct_5d,prev_prev_day_change_pct,prev_day_change_pct,day_change_pct,rsi,recent_high,volume_change_pct,open_price,high_price,low_price,hh20,vol_today_vs_yday_pct,is_pullback,is_breakout,long_upper_wick,is_high_zone,big_bearish_yesterday,weekly_sma20_ok,first_sma20_touch,sma20_touch_count,trend_start_days_ago,day_of_week,atr_pct,cum_ret_1d,cum_ret_2d,cum_ret_3d,ret_4d,cum_ret_4d,hit_2pct_4d,cum_ret_5d,days_to_target,pos_within_3d,pos_within_5d,max_ret_3d,max_ret_5d
2025-12-01,2801,キッコーマン,1400.5,1425.5,1363.7,1308.5,2799900,5092515.0,0.55,1418.5,1.285,-2.714,0.906,-0.969,1,1,1,1,-0.04,0.42,-2.06,58.0,,-15.8,1417.0,1424.5,1397.0,1459.5,34.3,True,False,False,False,False,False,False,0,11,0,,1.285,-1.464,-0.571,0.036,-0.536,1,-1.499,1.0,1,1,2.213,2.213
2025-12-01,2871,ニチレイ,1920.0,1934.1,1877.2,1783.7,1194500,1527805.0,0.78,1920.0,0.0,-1.406,-0.449,1.47,0,0,0,0,0.03,0.26,-1.39,61.5,,-35.1,1925.5,1940.5,1916.0,1965.0,65.7,True,False,True,True,False,False,False,2,20,0,,0.0,-1.406,-1.849,-2.547,-4.349,0,-2.943,,1,1,0.651,0.651
2025-12-01,2914,日本たばこ産業,5732.6,5700.7,5519.8,5002.8,4289900,4974355.0,0.86,5782.5,0.87,-1.724,-0.774,0.226,0,0,0,0,0.62,-0.27,-0.03,76.0,,0.7,5800.0,5801.0,5702.3,5812.8,5.3,False,False,False,True,False,False,False,1,20,0,,0.87,-0.87,-1.637,-0.485,-2.114,0,-1.893,,1,1,1.654,1.654
2025-12-01,3003,ヒューリック,1628.1,1667.8,1620.1,1582.2,3598800,1994395.0,1.8,1626.6,-0.09,0.784,0.239,1.824,0,0,0,1,0.53,0.12,-3.63,52.9,,35.5,1680.1,1683.5,1628.1,1697.7,94.3,True,False,False,False,False,False,False,2,10,0,,-0.09,0.693,0.934,-0.179,0.753,0,2.59,5.0,1,1,1.145,2.831
2025-12-01,3064,ＭｏｎｏｔａＲＯ,2186.8,2229.9,2200.7,2188.1,1899500,2749095.0,0.69,2194.2,0.341,1.312,0.938,-1.415,0,1,1,1,-0.7,1.12,-3.93,50.5,,18.4,2254.8,2263.2,2186.8,2346.1,31.9,False,False,False,False,False,False,True,1,0,0,,0.341,1.657,2.611,0.088,2.701,1,1.249,2.0,1,1,3.496,5.471
2025-12-01,3103,ユニチカ,325.0,335.6,265.4,226.9,9121800,6873790.0,1.33,292.0,-10.154,-1.37,2.431,-3.203,0,0,0,0,5.83,6.96,-11.92,66.4,,336.7,353.0,360.0,324.0,413.0,-52.7,True,False,False,False,False,False,False,0,10,0,,-10.154,-11.385,-9.231,-4.746,-13.538,0,-16.308,,0,0,0.0,0.0
2025-12-01,3105,日清紡ホールディングス,1234.8,1227.6,1219.4,1177.7,636800,817630.0,0.78,1234.8,0.0,1.239,0.868,1.43,0,0,1,1,-1.04,2.8,-1.15,56.4,,34.7,1258.0,1266.4,1234.8,1272.8,11.9,False,False,False,False,False,False,True,1,1,0,,0.0,1.239,2.117,-1.487,0.599,1,2.038,3.0,1,1,3.316,3.316
2025-12-01,3110,日東紡績,13610.0,13650.0,12343.0,8926.7,1607100,1656415.0,0.97,12510.0,-8.082,-5.276,-1.941,-3.499,0,0,0,0,1.96,0.89,-0.37,64.7,,-31.4,13880.0,14180.0,13370.0,16150.0,78.0,True,False,False,False,False,False,False,1,20,0,,-8.082,-12.932,-14.622,5.766,-9.699,0,-12.858,,1,1,1.69,1.69
2025-12-01,3197,すかいらーくホールディングス,3621.6,3629.5,3218.8,3053.9,2098000,2359685.0,0.89,3728.1,2.943,-2.645,0.0,-1.172,1,1,1,1,0.47,0.93,-1.73,75.6,,16.0,3650.5,3678.3,3613.6,3733.1,9.6,True,False,False,False,False,False,False,0,5,0,,2.943,0.22,0.22,-4.034,-3.823,1,-4.95,1.0,1,1,3.52,3.52
2025-12-01,3289,東急不動産ホールディングス,1402.5,1434.5,1352.2,1267.1,2952600,2627240.0,1.12,1412.5,0.713,0.602,1.091,3.348,0,0,1,1,0.69,-0.24,-3.41,63.0,,1.2,1451.0,1451.0,1388.0,1462.5,48.8,True,False,False,False,False,False,False,1,20,0,,0.713,1.319,2.424,-2.262,0.107,1,3.458,3.0,1,1,3.102,3.886
2025-12-01,3315,日本コークス工業,108.0,113.8,103.3,98.9,6656200,6421755.0,1.04,103.0,-4.63,-0.971,-0.98,4.04,0,0,0,0,-3.36,0.0,-6.09,55.7,,-33.3,112.0,113.0,107.0,120.0,95.3,True,False,False,False,False,False,False,0,5,0,,-4.63,-5.556,-6.481,-1.98,-8.333,0,-4.63,,1,1,1.852,1.852
2025-12-01,3382,セブン＆アイ・ホールディングス,2119.8,2120.1,2027.4,1980.4,5891600,6903355.0,0.85,2123.8,0.187,-1.653,1.657,-1.336,0,0,0,0,-0.95,0.35,-0.19,67.4,,8.0,2109.9,2124.7,2101.0,2148.5,-5.7,True,False,False,True,False,False,False,1,12,0,,0.187,-1.469,0.163,-2.398,-2.239,0,-3.545,,1,1,0.373,0.373
2025-12-01,3391,ツルハホールディングス,2720.8,2747.1,2721.8,2546.0,2219900,2642250.0,0.84,2718.9,-0.073,0.656,1.431,-0.053,1,1,1,1,0.0,0.69,-0.9,54.9,,-18.3,2795.2,2821.0,2716.9,2899.3,-16.2,False,False,False,False,False,False,False,3,20,0,,-0.073,0.583,2.023,0.5,2.533,1,2.478,1.0,1,1,3.608,3.608
2025-12-01,3407,旭化成,1247.0,1285.7,1267.5,1214.8,4770300,5571380.0,0.86,1272.0,2.005,0.943,3.193,2.891,1,1,1,1,-0.35,0.62,-4.37,48.0,,15.0,1303.0,1303.5,1247.0,1312.0,32.4,False,False,False,False,False,False,False,3,16,0,,2.005,2.967,6.255,0.491,6.776,1,9.864,1.0,1,1,6.255,10.184
2025-12-01,3402,東レ,1004.0,1006.5,976.7,965.5,3933600,5674850.0,0.69,1001.0,-0.299,-0.23,0.18,1.148,0,0,0,0,-0.54,0.64,-1.08,55.8,,-11.4,1013.0,1024.5,1004.0,1048.0,0.9,True,False,True,False,False,False,False,0,7,0,,-0.299,-0.528,-0.349,-2.519,-2.859,0,-1.743,,1,1,1.643,1.643
2025-12-01,3635,コーエーテクモホールディングス,2064.5,2119.7,2101.8,2023.0,785500,1079830.0,0.73,2082.0,0.848,-1.657,1.905,0.445,1,1,1,1,-0.54,0.23,-3.21,46.4,,-16.0,2121.5,2127.0,2064.5,2169.5,32.9,False,False,False,False,False,False,False,2,20,0,,0.848,-0.823,1.066,-3.043,-2.01,1,-1.574,1.0,1,1,2.349,2.349
2025-12-01,3656,ＫＬａｂ,232.0,246.0,228.9,217.8,10682200,6714415.0,1.59,244.0,5.172,1.23,7.287,10.949,1,1,1,1,-4.98,0.81,-7.2,50.7,,-55.2,245.0,246.0,230.0,269.0,101.7,True,False,False,False,False,False,False,2,5,0,,5.172,6.466,14.224,3.396,18.103,1,31.034,1.0,1,1,15.948,42.241
2025-12-01,3659,ネクソン,3775.3,3710.2,3528.6,3332.8,1580300,2143010.0,0.74,3770.3,-0.131,-0.895,1.646,0.266,0,0,0,0,2.11,0.82,0.16,67.3,,28.4,3766.4,3816.0,3750.5,3816.0,22.8,False,False,True,True,False,False,False,0,8,0,,-0.131,-1.025,0.604,-1.698,-1.104,0,-0.841,,1,1,0.946,0.946
2025-12-01,3719,ＡＩストーム,371.6,406.3,404.8,366.4,1311800,1661470.0,0.79,292.5,-21.277,0.676,-1.342,-2.749,0,0,0,0,-4.65,0.51,-4.08,44.1,,-65.7,391.3,391.3,356.7,522.8,1.8,False,False,False,False,False,False,True,1,12,0,,-21.277,-20.745,-21.809,-1.02,-22.606,0,-24.734,,0,0,-0.532,-0.532
